,Base80%+Rot20%(n=1),Base80%+Rot20%(n=2),Base80%+Rot20%(n=3),Base70%+Rot30%(n=1),Base70%+Rot30%(n=2),Base70%+Rot30%(n=3),Base60%+Rot40%(n=1),Base60%+Rot40%(n=2),Base60%+Rot40%(n=3),Base50%+Rot50%(n=1),Base50%+Rot50%(n=2),Base50%+Rot50%(n=3)
2015-06-01,5.069430217685138,7.161011724124616,7.1225003595831975,4.134245527421394,6.896105224865376,6.81174092131499,3.3093237642234743,6.478524941589329,6.341692158736725,2.6138885099858604,5.96973771582947,5.781055108405408
2015-06-02,5.055737182157228,7.125902699987807,7.087580149049734,4.139542817040043,6.882166579129728,6.797972795619507,3.3267431795272455,6.4840986318891085,6.347148127246228,2.6380569353332666,5.992075883087467,5.802687244034555
2015-06-03,5.021093600941545,7.069494368953347,7.031475177635859,4.11039143233443,6.822721086227719,6.739254536053469,3.3026841077767974,6.423412198376572,6.28774345056164,2.618477635062619,5.931670197884725,5.744190772055213
2015-06-04,4.9825144775047026,6.999074377523632,6.961433899447434,4.082757335628779,6.753541906167883,6.6709216675210286,3.283652199392896,6.357135744211038,6.222866819927363,2.605903360919339,5.869409173077156,5.683897601290953
2015-06-05,5.021530896256681,7.048748502028564,7.010840880371155,4.1107317146828075,6.792386220816346,6.7092907757384195,3.3029370930684374,6.385146227973239,6.25028569487787,2.618657089134261,5.887373096616982,5.7012937478036445
2015-06-08,4.948456325441659,6.936545216289714,6.899241015183241,4.057236932869594,6.690080266651086,6.608236393335883,3.2650359944253973,6.294441842907792,6.161497075135138,2.5926359673116086,5.808781363938966,5.625186025939763
2015-06-09,5.019460971263586,7.04349417986766,7.0056148155464975,4.108112938643916,6.784701962331106,6.701700523521104,3.300070784030911,6.3754448531089185,6.240789222538761,2.615764909545198,5.876130507114144,5.69040649737977
2015-06-10,5.07287443570509,7.123377298979168,7.085068329451461,4.146460622568039,6.855159853525022,6.771296459926573,3.3265636540825665,6.435554013543198,6.2996288187170855,2.633346296985759,5.925910984479328,5.738613587317367
2015-06-11,5.0873164532788655,7.139914282206623,7.101516378068274,4.1568221530294815,6.866887548447732,6.782880682732466,3.3337186299247334,6.442633498421788,6.3065587779512065,2.638093789427568,5.928810728890425,5.7414216809118965
2015-06-12,5.031423123012185,7.075429383958369,7.037378274591419,4.11246367759604,6.813748437832531,6.730391655593685,3.2991956619250935,6.401108752610417,6.265911075383143,2.611606958682763,5.898264571409808,5.711840981030019
