assets,weights,is_calmar
SCA-B.ST/MO/MCD,60%/20%/20%,2.483336259318197
SCA-B.ST/DPZ/AVGO,60%/20%/20%,2.4830696647613095
SCA-B.ST/DPZ/COST,50%/20%/30%,2.48287661833923
SCA-B.ST/DPZ/LMT,50%/30%/20%,2.4823017636756144
SCA-B.ST/MCD/TJX,30%/40%/30%,2.4818115154408824
SCA-B.ST/LMT/GC_F,70%/10%/20%,2.481751988012487
SCA-B.ST/NI/TJX,60%/10%/30%,2.4814932789943596
SCA-B.ST/MCD/TJX,50%/10%/40%,2.4810230545518466
SCA-B.ST/MO/TJX,40%/10%/50%,2.4805977710100504
SCA-B.ST/MCD/TJX,70%/10%/20%,2.479474619346748
SCA-B.ST/DPZ/MCD,70%/20%/10%,2.4786450988619877
SCA-B.ST/NI/AMZN,50%/10%/40%,2.4785994923845602
SCA-B.ST/AMZN/TJX,70%/20%/10%,2.4785624209691384
