condition,active,diversity,n_21d,med_21d,wr_21d,lift_21d,n_63d,med_63d,wr_63d,lift_63d,n_252d,med_252d,wr_252d,lift_252d
nominal_10y=MID + breakeven=MID,False,ROBUST,1151,0.0038,0.5413,-0.0043,1151,0.0149,0.5725,-0.013,1089,0.1104,0.6768,-0.003
baa10y=TIGHT + t10y3m=MID,False,ROBUST,825,-0.0018,0.4776,-0.0099,803,0.0149,0.5903,-0.013,803,0.0386,0.604,-0.0748
breakeven=HIGH + se_10y=HIGH,False,MODERATE,844,0.0071,0.5509,-0.001,844,0.0148,0.5841,-0.0131,844,0.1361,0.9194,0.0227
breakeven=MID + baa10y=MID,False,ROBUST,714,0.0025,0.5308,-0.0056,714,0.0141,0.5784,-0.0138,714,0.0358,0.5658,-0.0776
nominal_10y=LOW + se_10y=LOW,False,ROBUST,1932,0.0028,0.528,-0.0053,1932,0.014,0.5637,-0.0139,1932,0.0054,0.5264,-0.108
breakeven=HIGH + usd=MID,False,ROBUST,379,0.0074,0.5541,-0.0007,379,0.014,0.6016,-0.0139,379,0.072,0.7388,-0.0414
baa10y=TIGHT + usd=MID,False,ROBUST,781,0.0011,0.5109,-0.007,781,0.014,0.6044,-0.0139,781,0.0472,0.6108,-0.0662
ry=LOW + baa10y=TIGHT + t10y3m=MID,False,THIN,309,0.0046,0.5437,-0.0035,309,0.0137,0.5922,-0.0142,309,-0.0174,0.4045,-0.1308
t10y2y=MID,False,ROBUST,2312,0.0069,0.5666,-0.0012,2274,0.0131,0.566,-0.0148,2078,0.0205,0.5679,-0.0929
baa10y=TIGHT + se_10y=LOW,False,THIN,613,0.0002,0.5008,-0.0079,613,0.0131,0.5905,-0.0148,613,-0.0025,0.4829,-0.1159
usd=WEAK,False,MODERATE,1798,0.0055,0.5445,-0.0026,1798,0.013,0.5539,-0.0149,1798,0.0213,0.5323,-0.0921
baa10y=MID + t10y3m=LOW,False,ROBUST,609,0.0022,0.5353,-0.0059,609,0.013,0.5649,-0.0149,609,0.1785,0.9015,0.0651
ry=MID + breakeven=MID,False,ROBUST,887,0.002,0.5231,-0.0061,887,0.0122,0.566,-0.0157,882,0.117,0.6905,0.0036
ry=LOW + baa10y=TIGHT + breakeven=HIGH,False,THIN,213,0.0076,0.5587,-0.0005,213,0.0121,0.5634,-0.0158,213,0.0,0.4977,-0.1134
t10y2y=HIGH + usd=WEAK,False,MODERATE,1259,0.0024,0.521,-0.0057,1259,0.012,0.5639,-0.0159,1259,0.0238,0.5401,-0.0896
t10y3m=MID + se_10y=HIGH,False,MODERATE,365,0.012,0.5973,0.0039,365,0.0119,0.5726,-0.016,365,0.169,0.863,0.0556
breakeven=LOW + usd=MID,False,ROBUST,1045,0.0027,0.5254,-0.0054,1045,0.0118,0.5627,-0.0161,1045,0.0298,0.6278,-0.0836
baa10y=WIDE + se_10y=MID,False,MODERATE,715,0.0062,0.5427,-0.0019,715,0.0111,0.5552,-0.0168,715,0.1076,0.6378,-0.0058
se_10y=MID + usd=WEAK,False,THIN,952,0.0043,0.5378,-0.0038,952,0.011,0.5693,-0.0169,952,0.0024,0.5063,-0.111
ry=LOW + baa10y=TIGHT + usd=MID,False,THIN,227,0.0045,0.5507,-0.0036,227,0.011,0.5815,-0.0169,227,-0.0288,0.2863,-0.1422
nominal_10y=LOW + t10y2y=MID,False,ROBUST,1425,0.0037,0.5396,-0.0044,1425,0.0106,0.5516,-0.0173,1425,-0.006,0.4695,-0.1194
ry=MID + baa10y=WIDE + breakeven=MID,False,MODERATE,184,0.0164,0.6467,0.0083,184,0.01,0.538,-0.0179,184,0.1426,0.7663,0.0292
baa10y=MID,False,ROBUST,2172,0.0031,0.5341,-0.005,2172,0.01,0.5645,-0.0179,2172,0.068,0.6929,-0.0454
breakeven=MID + usd=WEAK,False,MODERATE,938,0.005,0.548,-0.0031,938,0.01,0.5608,-0.0179,938,-0.0333,0.3923,-0.1467
usd=MID,False,ROBUST,1799,0.0011,0.5114,-0.007,1799,0.01,0.5614,-0.0179,1799,0.0432,0.6454,-0.0702
breakeven=LOW + t10y2y=MID,False,ROBUST,944,0.0042,0.5466,-0.0039,944,0.0099,0.5498,-0.018,944,0.0141,0.572,-0.0993
ry=LOW + baa10y=MID + t10y2y=LOW,False,THIN,256,0.0004,0.5039,-0.0077,256,0.0099,0.5273,-0.018,256,0.2426,0.8633,0.1292
ry=MID + baa10y=MID + usd=MID,False,THIN,105,0.0081,0.5905,0.0,105,0.0098,0.5714,-0.0181,105,0.1796,0.7714,0.0662
t10y3m=MID + t10y2y=LOW,False,ROBUST,358,-0.0074,0.4246,-0.0155,353,0.0097,0.5439,-0.0182,353,0.2002,0.8782,0.0868
ry=MID + t10y3m=MID,False,ROBUST,613,0.0028,0.5237,-0.0053,613,0.0093,0.5416,-0.0186,613,0.0834,0.7145,-0.03
ry=LOW + breakeven=LOW,False,ROBUST,1071,-0.0001,0.4995,-0.0082,1071,0.0091,0.5518,-0.0188,1071,0.0205,0.5938,-0.0929
t10y2y=MID + se_10y=HIGH,False,MODERATE,517,0.014,0.6344,0.0059,517,0.0091,0.5706,-0.0188,517,0.1416,0.8627,0.0282
breakeven=LOW + t10y3m=MID,False,ROBUST,784,0.0031,0.5293,-0.005,784,0.0084,0.5395,-0.0195,784,0.0078,0.5472,-0.1056
t10y3m=MID + t10y2y=MID,False,ROBUST,1639,0.0033,0.5339,-0.0048,1622,0.0078,0.5432,-0.0201,1622,0.0015,0.508,-0.1119
breakeven=MID + t10y3m=HIGH,False,ROBUST,756,0.0022,0.5265,-0.0059,756,0.0073,0.5503,-0.0206,756,0.0118,0.5172,-0.1016
se_10y=LOW,False,ROBUST,2317,0.0009,0.5088,-0.0072,2317,0.0073,0.5395,-0.0206,2317,0.0192,0.5606,-0.0942
baa10y=MID + t10y2y=LOW,False,ROBUST,632,0.0022,0.5364,-0.0059,632,0.007,0.5301,-0.0209,632,0.1718,0.9367,0.0584
nominal_10y=LOW,False,ROBUST,2312,0.0011,0.5104,-0.007,2312,0.0052,0.5268,-0.0227,2312,-0.0014,0.4931,-0.1148
ry=MID + t10y2y=MID,False,ROBUST,564,0.0136,0.6241,0.0055,564,0.0051,0.516,-0.0228,552,0.0751,0.6902,-0.0383
t10y2y=MID + se_10y=LOW,False,ROBUST,1477,0.0031,0.5301,-0.005,1477,0.005,0.5274,-0.0229,1477,-0.0098,0.4441,-0.1232
ry=MID + usd=MID,False,MODERATE,550,-0.0012,0.4836,-0.0093,550,0.0049,0.5364,-0.023,550,0.1148,0.7145,0.0014
breakeven=LOW + baa10y=MID,False,ROBUST,899,0.0014,0.5172,-0.0067,899,0.0039,0.5284,-0.024,899,0.0494,0.6518,-0.064
nominal_10y=LOW + usd=MID,False,ROBUST,1090,0.0015,0.5138,-0.0066,1090,0.0036,0.5239,-0.0243,1090,0.0012,0.5083,-0.1122
ry=MID + baa10y=TIGHT + breakeven=MID,False,ROBUST,354,-0.0052,0.4322,-0.0133,354,0.0032,0.5339,-0.0247,349,0.1473,0.7307,0.0339
nominal_10y=MID + usd=MID,False,MODERATE,395,-0.0056,0.4456,-0.0137,395,0.003,0.5367,-0.0249,395,0.2074,0.7646,0.094
ry=LOW + se_10y=LOW,False,ROBUST,1656,-0.0017,0.4831,-0.0098,1656,0.0029,0.5163,-0.025,1656,-0.0038,0.4831,-0.1172
ry=MID + baa10y=TIGHT + t10y3m=MID,False,ROBUST,377,-0.007,0.3952,-0.0151,377,0.002,0.5225,-0.0259,377,0.1506,0.6472,0.0372
t10y3m=MID + se_10y=LOW,False,ROBUST,1520,-0.0002,0.4967,-0.0083,1520,0.0017,0.5112,-0.0262,1520,-0.0058,0.4638,-0.1192
breakeven=MID + t10y3m=MID,False,ROBUST,633,-0.0025,0.4818,-0.0106,632,0.0015,0.5174,-0.0264,632,-0.0107,0.4399,-0.1241
ry=LOW + baa10y=MID + usd=STRONG,False,MODERATE,372,-0.0048,0.4355,-0.0129,372,0.0015,0.5054,-0.0264,372,0.0896,0.7715,-0.0238
breakeven=MID + usd=MID,False,ROBUST,375,-0.0061,0.4293,-0.0142,375,0.0011,0.5173,-0.0268,375,0.0893,0.6,-0.0241
nominal_10y=LOW + baa10y=WIDE,False,ROBUST,981,0.0013,0.5127,-0.0068,981,0.001,0.5046,-0.0269,981,-0.0068,0.475,-0.1202
