ticker,date,drift,return,stopped,days_to_stop,bucket
WMB,2006-05-17,-0.0009565422081690977,0.022815202754482608,True,14.0,2
LRCX,2022-05-11,-0.0009390737547945172,0.054142952257533995,True,8.0,2
FOX,2026-02-06,-0.0008568905061820953,-0.10823318336785917,False,,2
BKNG,2016-01-08,-0.0008442698682442629,-0.04500888511081809,False,,2
PHM,2012-11-14,-0.000656183007350708,0.06894288191978797,False,,2
FSLR,2025-02-27,-0.0006374581566759296,-0.06924650412687042,False,,2
VEEV,2021-12-03,-0.000601263184779377,0.005534631038264716,True,10.0,2
ADBE,2022-06-13,-0.0005650247774162676,0.013595702562395317,False,,2
OXY,2006-05-17,-0.00021464509989299607,0.048437580512578765,False,,2
DXCM,2022-01-06,0.0,-0.14412005248770704,False,,2
MRVL,2022-03-07,9.867684869213633e-08,-0.015040212812661668,True,4.0,2
NVDA,2020-02-25,3.826654053562528e-05,-0.06286018735681677,True,8.0,2
BKNG,2026-02-05,7.874409213437517e-05,-0.04600135132790614,False,,2
PODD,2021-12-03,0.00011399011196666642,0.036322177489391316,False,,2
WMB,2008-01-17,0.0003150632602080261,0.03654701231414052,False,,2
PANW,2020-02-25,0.0006092746877104371,-0.32727830499234833,False,,2
LRCX,2022-03-07,0.0008380085432941886,0.16585410134221898,False,,2
MPWR,2014-10-14,0.0008700228520386322,0.287246500363572,False,,2
ROST,2015-11-13,0.0013392305024153561,0.2020839888888384,False,,2
PODD,2022-01-10,0.0015372263426165489,0.02907866716662139,False,,2
SBAC,2008-09-29,0.001680681404287565,-0.23447979957906703,False,,2
DECK,2009-01-14,0.0017068718751052092,-0.07360708137454561,False,,2
LRCX,2022-08-22,0.001945246971061465,-0.07929206143724546,False,,2
DECK,2025-03-10,0.0019816519078525996,-0.06592501112973699,False,,2
VTR,2008-11-06,0.002066178138129038,-0.21030934688295863,False,,2
WMB,2014-12-10,0.0022357412689535394,0.002453594425349267,False,,2
FOXA,2026-02-06,0.002315630535585367,-0.12536580274879364,False,,2
FFIV,2011-08-22,0.0024548472049865655,0.07461827199374702,True,12.0,2
TYL,2008-12-23,0.002673772928450724,0.047999996609157984,False,,2
AXON,2022-06-13,0.0031176793999376784,0.06171612181151592,False,,2
DECK,2009-03-03,0.003379123462669442,0.3598447931780153,False,,2
NOW,2022-06-13,0.0034743484405581615,0.12226748236792312,False,,2
DHI,2008-11-12,0.0035848847558637154,0.22678510384568756,True,10.0,2
HUM,2020-10-29,0.003705474554954069,0.022474840839480772,True,14.0,2
AAPL,2019-05-13,0.003715445222150393,-0.03631796491173243,False,,2
DXCM,2020-10-29,0.004324559791524019,-0.06197658645372573,False,,2
ON,2022-05-11,0.0044427185667879066,0.2228846183189979,False,,2
CCJ,2008-01-17,0.004932936987500414,-0.05919722707946844,False,,2
UNH,2020-02-25,0.005049478135226826,-0.054056984875203794,True,11.0,2
MSI,2008-12-24,0.00507654139335223,0.03787825518440929,True,12.0,2
VRT,2022-06-13,0.005313578863950896,-0.05496822279932455,True,10.0,2
NVDA,2022-06-13,0.0053682759242013045,-0.012014351355843132,True,10.0,2
GDDY,2020-09-10,0.005525564493374935,-0.016616467852877962,False,,2
MRVL,2018-03-28,0.00584823562627701,0.019379844270598485,False,,2
