,walkforward,ew_regime,spy
2017-11-23,67.22518922257778,,
2017-11-24,67.45853548237551,68.74046056889347,3.041454171436959
2017-11-27,67.43912886497141,68.68993943010678,3.0399354300209502
2017-11-28,68.70997130790433,69.77148356392279,3.070775349941115
2017-11-29,67.39848424054382,68.5320877470871,3.0689049837656617
2017-11-30,67.62314134885355,68.70533257783418,3.0957739724210187
2017-12-01,66.64734963590577,68.10962260300586,3.089349014613949
2017-12-04,65.24517238611782,66.93598707954409,3.0856113434188126
2017-12-05,65.12707327728235,66.82078043793356,3.0745136333674057
2017-12-06,65.28247984732192,67.155828641569,3.0750974978112646
2017-12-07,65.034136623821,66.91430416989654,3.084793402597075
2017-12-08,65.81406114493686,67.46685163530374,3.101614249476023
2017-12-11,65.98206368765301,67.55618728443562,3.1109601621188006
2017-12-12,65.72558218908519,67.28172901442477,3.1164500388766694
2017-12-13,65.4898253493478,67.3287978813467,3.1160998426565847
2017-12-14,65.26482538509921,67.29457273392268,3.103367271346961
2017-12-15,65.87166801062816,67.85049757075893,3.12920975243412
2017-12-18,66.16467776247472,68.05474430637065,3.1490527763662355
2017-12-19,65.62171447682623,67.58027553509375,3.136958558073177
2017-12-20,65.57409181074124,67.54758186929006,3.1353161459640613
2017-12-21,65.42131309538007,67.46357006103499,3.141773552022293
2017-12-22,65.5429588624654,67.54913974780312,3.1409515296595294
2017-12-26,65.4555607218754,67.50214571480329,3.137194675221568
2017-12-27,65.44760790459499,67.52345058729502,3.138721375642579
2017-12-28,65.83588773956382,67.8728799570419,3.1451777613155536
2017-12-29,65.73034957390365,67.86915839854483,3.1333190479397315
2018-01-02,66.9243295005805,68.99200951647971,3.1557438506482423
2018-01-03,68.80235057948458,70.28833200939336,3.1757056474242327
2018-01-04,69.0708831207911,70.48685771938433,3.1890908571440146
2018-01-05,71.38465746969123,71.89306906971548,3.210343441269677
2018-01-08,73.75329131154064,74.48836249281506,3.2162147380364847
2018-01-09,73.44251415717122,73.87005232280545,3.223493758303377
2018-01-10,73.7510471344014,73.95685081315305,3.2185624404350026
2018-01-11,75.59206681330599,75.42174689162712,3.2420447704235125
2018-01-12,74.6263902109024,74.7034231137021,3.2631791939364536
2018-01-15,74.55549514020204,,
2018-01-16,73.77669711954448,74.01430205212374,3.252025158618879
2018-01-17,73.56603248544377,74.01284033493712,3.283022626022672
2018-01-18,73.5952693462363,74.08754702563229,3.277504382554668
2018-01-19,73.75360854938984,74.26636023384438,3.2924160886184093
2018-01-22,74.69749238412932,74.99094718182151,3.3191869162120757
2018-01-23,76.86683120438786,76.62861715594468,3.326231656024039
2018-01-24,78.02335539854136,77.51717706402192,3.324939440135008
2018-01-25,78.35836158494673,77.66067527152174,3.3263490003285545
2018-01-26,79.63367924598825,78.73493211747338,3.364859768454168
2018-01-29,80.58825429343862,79.50660894780484,3.3425508815108134
2018-01-30,79.59883354337512,78.46936847383212,3.308266140964173
2018-01-31,78.63223667761496,78.02752608866471,3.3099110019979046
2018-02-01,78.45505969278614,77.85595434412905,3.3061516986353268
2018-02-02,77.39714752277222,76.73679470888725,3.2341780082487848
2018-02-05,74.30829472946061,74.25729975018882,3.0989165549344717
2018-02-06,76.14102002662051,75.77272674989327,3.159972531228881
2018-02-07,75.27035965983815,74.98264692659116,3.1428298548399836
